"IMAG1" "IMAG2" "IMAG3" "IMAG4" "IMAG5" "CUEX1" "CUEX2" "CUEX3" "PERQ1" "PERQ2" "PERQ3" "PERQ4" "PERQ5" "PERQ6" "PERQ7" "PERV1" "PERV2" "CUSA1" "CUSA2" "CUSA3" "CUSCO" "CUSL1" "CUSL2" "CUSL3"
"1" 66.67 44.44 44.44 44.44 33.33 66.67 66.67 55.56 66.67 55.56 33.33 66.67 55.56 44.44 44.44 11.11 22.22 55.56 33.33 66.67 66.67 55.56 44.44 55.56
"2" 100 88.89 100 100 88.89 100 100 88.89 100 88.89 100 100 88.89 100 100 100 100 100 100 77.78 100 100 11.11 100
"3" 77.78 66.67 55.56 33.33 66.67 66.67 66.67 66.67 66.67 77.78 44.44 66.67 77.78 66.67 66.67 66.67 66.67 77.78 66.67 66.67 55.56 55.56 11.11 66.67
"4" 100 100 44.44 44.44 100 66.67 100 44.44 77.78 100 100 77.78 33.33 44.44 77.78 44.44 44.44 100 100 100 44.44 100 33.33 100
"5" 100 100 44.44 77.78 88.89 77.78 66.67 100 100 88.89 77.78 100 88.89 88.89 77.78 55.56 55.56 100 77.78 77.78 44.44 100 22.22 77.78
"6" 77.78 88.89 100 77.78 88.89 100 88.89 66.67 88.89 100 88.89 100 77.78 88.89 88.89 100 100 77.78 66.67 66.67 77.78 100 22.22 100
"7" 77.78 66.67 0 66.67 66.67 88.89 55.56 11.11 66.67 77.78 88.89 66.67 77.78 66.67 77.78 44.44 66.67 77.78 77.78 77.78 66.67 66.67 55.56 77.78
"8" 77.78 77.78 88.89 66.67 88.89 44.44 55.56 0 77.78 55.56 66.67 77.78 66.67 77.78 66.67 44.44 66.67 66.67 55.56 66.67 77.78 44.44 66.67 77.78
"9" 66.67 88.89 55.56 55.56 77.78 66.67 66.67 66.67 66.67 77.78 55.56 66.67 66.67 66.67 77.78 44.44 66.67 66.67 66.67 66.67 77.78 55.56 22.22 66.67
"10" 55.56 66.67 66.67 77.78 77.78 77.78 66.67 22.22 55.56 55.56 77.78 77.78 77.78 66.67 77.78 33.33 55.56 66.67 44.44 44.44 55.56 100 33.33 55.56
"11" 66.67 100 66.67 66.67 66.67 66.67 55.56 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 66.67 66.67 100 55.56 66.67 66.67 100 33.33 77.78
"12" 88.89 88.89 44.44 77.78 88.89 100 100 88.89 66.67 77.78 77.78 77.78 88.89 88.89 77.78 44.44 66.67 77.78 77.78 66.67 66.67 44.44 11.11 44.44
"13" 77.78 88.89 77.78 77.78 66.67 77.78 55.56 88.89 88.89 88.89 66.67 77.78 77.78 88.89 77.78 44.44 55.56 77.78 77.78 66.67 77.78 66.67 22.22 77.78
"14" 100 100 100 100 100 100 100 100 100 66.67 100 100 100 100 100 66.67 77.78 100 77.78 77.78 77.78 100 33.33 100
"15" 100 77.78 33.33 55.56 100 44.44 44.44 100 77.78 77.78 77.78 88.89 55.56 88.89 66.67 11.11 44.44 77.78 55.56 66.67 66.67 44.44 11.11 100
"16" 66.67 88.89 66.67 100 88.89 44.44 66.67 88.89 100 88.89 88.89 88.89 88.89 88.89 88.89 11.11 66.67 88.89 55.56 66.67 66.67 88.89 33.33 77.78
"17" 77.78 66.67 77.78 100 100 77.78 77.78 55.56 88.89 77.78 100 88.89 100 88.89 33.33 44.44 100 88.89 77.78 66.67 44.44 100 11.11 100
"18" 66.67 44.44 11.11 44.44 44.44 44.44 66.67 66.67 66.67 55.56 44.44 77.78 66.67 66.67 66.67 66.67 66.67 77.78 44.44 44.44 44.44 22.22 22.22 22.22
"19" 88.89 88.89 88.89 77.78 88.89 77.78 77.78 100 77.78 77.78 88.89 88.89 77.78 88.89 88.89 77.78 66.67 88.89 77.78 88.89 100 88.89 44.44 100
"20" 66.67 66.67 44.44 55.56 66.67 44.44 66.67 55.56 77.78 66.67 66.67 77.78 77.78 66.67 55.56 66.67 66.67 77.78 77.78 55.56 44.44 77.78 0 55.56
"21" 77.78 88.89 66.67 77.78 77.78 33.33 66.67 66.67 66.67 77.78 77.78 77.78 88.89 77.78 77.78 66.67 66.67 77.78 88.89 77.78 66.67 77.78 33.33 88.89
"22" 66.67 55.56 77.78 77.78 77.78 55.56 88.89 88.89 77.78 22.22 100 66.67 88.89 77.78 55.56 44.44 44.44 66.67 33.33 44.44 66.67 22.22 55.56 66.67
"23" 66.67 66.67 66.67 66.67 66.67 66.67 44.44 66.67 66.67 66.67 66.67 77.78 66.67 66.67 44.44 44.44 66.67 66.67 66.67 44.44 66.67 66.67 11.11 66.67
"24" 66.67 77.78 77.78 66.67 77.78 66.67 66.67 77.78 77.78 77.78 77.78 77.78 77.78 66.67 66.67 88.89 88.89 77.78 77.78 77.78 88.89 77.78 11.11 88.89
"25" 66.67 77.78 77.78 55.56 55.56 77.78 66.67 66.67 55.56 77.78 44.44 44.44 77.78 55.56 33.33 22.22 44.44 66.67 44.44 11.11 33.33 22.22 11.11 0
"26" 100 100 100 100 100 77.78 100 77.78 100 100 100 100 100 100 100 77.78 77.78 100 77.78 100 100 100 77.78 100
"27" 100 100 66.67 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 66.67 66.67 66.67 77.78 44.44 66.67 44.44 66.67 22.22 66.67
"28" 11.11 77.78 44.44 77.78 0 77.78 77.78 100 44.44 44.44 44.44 44.44 44.44 44.44 44.44 100 100 77.78 44.44 66.67 44.44 100 100 77.78
