"","rho_tilda","rho_hat_svd","rho_hat_sem"
"p12",0.89020799493362,0.89020799493362,0.857375596067527
"p13",0.609888221224604,0.609888221224604,0.544311122347391
"p14",0.834010556143471,0.834010556143472,0.784811572911098
"p15",0.676251399171264,0.71895010750574,0.630896094983863
"p23",0.678554698361802,0.678554698361802,0.674560996230484
"p24",0.954645396327069,0.954645396327069,0.913272067222542
"p25",0.675237125929637,0.822942114177674,0.734163206502321
"p34",0.753030141020458,0.753030141020458,0.748143822861939
"p35",0.688261061845884,0.649141784661761,0.601419541481919
"p45",0.862039577568682,0.862039577568682,0.803882252454157
