"",Population,Mean_SVD,Mean_CSEM,Mean_ML,MAD_SVD,MAD_ML,MAD_CSEM,std_SVD,std_ML,std_CSEM,std_RML
lambda_11,0.73156352095029,0.727196148914711,0.727580831536519,0.729812066054119,0.0575842589817636,0.0533336751039106,0.0575198645071891,0.0729665469513215,0.0665937159715801,0.0728516847704566,0.0669027014400568
lambda_22,0.774596669241483,0.770755183896271,0.770437528105402,0.770916052044018,0.0597544375339957,0.053723886393334,0.0600671108933423,0.074680988315184,0.0677000626446579,0.0750304908279826,0.0640372476351882
lambda_33,0.817629817532677,0.813175398232332,0.812872524973735,0.814863144958023,0.054234419651228,0.0500270290727111,0.0544873581690372,0.0670202370768844,0.0616778712356221,0.0672446511806986,0.0607866023566707
lambda_41,0.73156352095029,0.726817246562024,0.72728397449113,0.727002886158351,0.0514901725874386,0.0508525855737052,0.0515479804610293,0.0651372349224728,0.0644147057549315,0.0652568126367203,0.0635667568640601
lambda_52,0.774596669241483,0.767090078563861,0.766699121983181,0.766883532548074,0.0494335179638058,0.0494447743814308,0.049699710290113,0.0620567885461255,0.0617011410929241,0.0623165616338258,0.0610160569234206
lambda_63,0.817629817532677,0.817214337100885,0.816909158303085,0.817356741651233,0.0479551052104198,0.047582652172334,0.0480705722731347,0.0596872709755181,0.0591536279620396,0.0599227269456353,0.0578339349378795
lambda_11,0.576370878714833,0.575019993729467,0.573498594395969,0.574212612368992,0.0560156884102817,0.0533191039403645,0.056621048541689,0.0696427286353399,0.0661498178982511,0.0701624450906984,0.068163882884298
lambda_22,0.782217621112987,0.776819936912056,0.776645938825361,0.777400120941586,0.0513033230193823,0.0484423155804247,0.0515836130306114,0.0636596323053252,0.0604364945588253,0.063888844937262,0.0582880906288136
lambda_33,0.90572566655188,0.902005877607884,0.902421080147085,0.903050262149493,0.0404808485639751,0.0393465073963635,0.0405511831655038,0.0506488021546312,0.0492056270810079,0.0507283523399079,0.0497843866041625
lambda_41,0.576370878714833,0.573793909805746,0.572513561611931,0.573053907841186,0.0617019205441658,0.0609497842819026,0.0619801819893817,0.0786746913980325,0.0779218681778206,0.0788847817035448,0.0753510467389033
lambda_52,0.782217621112987,0.780130667455867,0.779670188780924,0.779602493532315,0.0500823525628957,0.0493901383398356,0.0503494523975725,0.0632575123364718,0.0622075563608143,0.0635824475302358,0.0632623671485643
lambda_63,0.90572566655188,0.900514674346383,0.90102013268375,0.901411047297331,0.0440508466676859,0.0438404346779519,0.0441896261216947,0.0547693778072585,0.0544441073190123,0.0549417530636541,0.0527896703573237
lambda_11,0.7,0.695773038418386,0.6959230341662,0.699433640018654,0.0588519819570954,0.0463660611827584,0.0593608011387954,0.0734626396394174,0.0576682078629496,0.0744507676033972,0.0566450878598569
lambda_22,0.7,0.700126867700857,0.699937249073889,0.699411632038651,0.0564956860814809,0.0470453343107517,0.0567471164134249,0.0711849038765451,0.0588876633815285,0.0717610375424156,0.056611642583384
lambda_33,0.7,0.695925591680588,0.695797601881705,0.696339301059655,0.0574375824056204,0.0473972655460787,0.0581742499389906,0.0725192450571043,0.0594635239734783,0.0734642341452999,0.0565216424735082
lambda_41,0.7,0.698731636704073,0.698587605234288,0.699824072635186,0.0431151965471085,0.041737026023186,0.0431420002521388,0.054053427012873,0.0527312374708522,0.0539853477952949,0.0532117276175579
lambda_52,0.7,0.700632081226135,0.700550018800161,0.700297466994087,0.0443126076671741,0.0426832399304978,0.0442128072695769,0.0549995810721566,0.053449600877328,0.0549494557833445,0.0531556027064453
lambda_63,0.7,0.700008558296408,0.700112372467448,0.699739010738773,0.0434916271829542,0.0428071215341765,0.0435402353689019,0.0551891771079847,0.0544268038954593,0.0551419267723844,0.0531947477149229
