"","Population","Mean_SVD","MAD_SVD","Mean_ML","MAD_ML","Mean_CSEM","MAD_CSEM","std_SVD","std_ML","std_CSEM"
"omega_11",0.430331482911935,0.427321750042694,0.0667790046351726,0.429933929603879,0.0572800289755435,0.427586610073185,0.0663675748506852,0.0833770866831003,0.0721408033402628,0.083285242710385
"omega_22",0.430331482911935,0.428579261097095,0.0762154603801363,0.427281782557718,0.0622206710493958,0.427997490227078,0.0769875631998038,0.0943926248227075,0.078524002671601,0.0952587390567201
"omega_33",0.430331482911935,0.426216022714254,0.077233269638098,0.42790903217637,0.0648703001544326,0.425657629894945,0.0778971383285,0.0971790445568789,0.0817984201721591,0.0971684388940044
"omega_41",0.430331482911935,0.428550540521448,0.0529793382487525,0.428895540565855,0.0515341366160817,0.428568165455927,0.0529423777449489,0.0661682079606307,0.0639315867432137,0.0664212689252349
"omega_12",0.430331482911935,0.426542874461046,0.0546099326434824,0.426276795534876,0.0544370600810928,0.424780684679965,0.0544370994801958,0.0687498615287994,0.0683293463458388,0.067847734111044
"omega_23",0.430331482911935,0.435211589619342,0.0570625867650685,0.435470102146399,0.055662368673347,0.434216228395489,0.0568950969630813,0.0712135018875606,0.0697922877453612,0.070899761810425
"omega_31",0.205846742398155,0.205839212640833,0.0548099413599422,0.204381952378658,0.0489295070586296,0.203824580033842,0.0555029225994415,0.0691499504575233,0.0615149117067259,0.0697214969992193
"omega_42",0.411693484796309,0.410962578528182,0.0543265410905571,0.411161900154335,0.0489546990056294,0.40976915571728,0.0551865120797473,0.0680371098228086,0.0614003326285405,0.0688476874411276
"omega_13",0.617540227194464,0.616857483082529,0.0547216612921344,0.618574726637593,0.0503355256246199,0.617266344774623,0.0538160235915145,0.0678967151612003,0.062853559244157,0.0663878160318645
"omega_21",0.205846742398155,0.204562516681617,0.0621396942062688,0.203321556921506,0.0611216777845651,0.202750383958158,0.0629434630260736,0.0777745799285746,0.0768019619743409,0.0787520184736849
"omega_32",0.411693484796309,0.413465087181751,0.062816035642516,0.412406837686882,0.0611001673391688,0.412061039454113,0.0623845040193863,0.0783667057839983,0.0762468581825723,0.0783617353357785
"omega_43",0.617540227194464,0.612576866947493,0.0619527249826855,0.614569519275334,0.0605238453999833,0.613530706087807,0.0617817909134197,0.0777427948745995,0.076658819984004,0.0773568256181718
