"",Population,Mean_SVD,Mean_ML,MAD_SVD,MAD_ML,Mean_CSEM,MAD_CSEM,std_SVD,std_ML,std_CSEM,std_RML
gamma_11,-0.3,-0.301583710856281,-0.303892700057698,0.0502502315840871,0.0497075888833895,-0.296015063232509,0.0508730673230389,0.0635439345636696,0.0617999569140962,0.0641151827298963,0.0601578471010189
gamma_12,0.5,0.50269627373807,0.506416621135626,0.0703831470606236,0.0695332094560146,0.499316604903151,0.0705686442501014,0.0872597884135939,0.0858476015271508,0.0869505249758999,0.0778611253784766
gamma_23,0.5,0.500532207230943,0.500203294180268,0.0427947536214187,0.0406441107216649,0.498836786859642,0.0424706234520874,0.0536543590385586,0.0509770206185798,0.053134552561265,0.0502169205123581
gamma_24,0.25,0.24953181843338,0.250826242131726,0.0412247547069541,0.0374242200257529,0.249573155223144,0.0407669570230871,0.0513624099795913,0.0466924270062873,0.0507545575583108,0.0468414377040706
beta_21,0.5,0.49968260213923,0.501020453005187,0.0704774837886621,0.0719502429764574,0.499023585082134,0.0708375752781904,0.0892112088249487,0.0912803571641176,0.0898397373244935,0.0926721590084865
beta_12,0.25,0.251815009427725,0.24688130298384,0.0836877001111331,0.0817044261374156,0.250855154504595,0.0837924560347992,0.10508715645291,0.101770698651116,0.104919666881319,0.0873328995763592
psi11,0.518946609406726,0.513187897427168,0.51463176656362,0.06367911693367,0.0627955515167057,0.516715824609894,0.0634964083277123,0.0799812527146767,0.0792060450301239,0.0797787894312819,NA
psi12,-0.029504871165134,-0.0300300472273789,-0.0284462522473353,0.0565780219302569,0.0580725938608323,-0.0303432029956562,0.0567494548331659,0.0725814547194913,0.0741869213316559,0.0725980311977139,NA
psi22,0.105393218813453,0.107132005571253,0.106535773832035,0.0390919024467894,0.0393810933101383,0.109479800360855,0.0389363045884193,0.0487637771056944,0.0490767759349228,0.0484992049169149,NA
R2_1,0.481053390593274,0.486812102572832,0.48536823343638,0.06367911693367,0.0627955515167057,0.341348940320563,0.139794948154213,0.0799812527146767,0.0792060450301239,0.0555665308847674,NA
R2_2,0.894606781186547,0.892867994428747,0.893464226167965,0.0390919024467894,0.0393810933101383,0.73707071446913,0.157536066717417,0.0487637771056944,0.0490767759349228,0.0473193421379872,NA
