"","Population","Mean_SVD","MAD_SVD","Mean_ML","MAD_ML","Mean_CSEM","MAD_CSEM","std_err_SVD","std_err_ML","std_err_CSEM","std_RML"
"p12",0.5,0.504650745764087,0.0348815485855584,0.503482562451302,0.035245144972716,0,0.5,0.042758416552811,0.0433522230062616,0,0.0429908112540067
"p13",0.5,0.505291819264319,0.0336716138432689,0.503909976353961,0.0334447852026066,0,0.5,0.0421957034911948,0.0419884348572822,0,0.0429726371317457
"p23",0.5,0.503008669143181,0.0344298748583416,0.501828772094443,0.034633796478989,0,0.5,0.0435630058773704,0.0438824541233416,0,0.0430842995935994
"p14",0.5,0.506562697654132,0.0346347124278278,0.505331182182196,0.0344863907340531,0,0.5,0.0428469860034082,0.0428774895026161,0,0.0428855120770502
"p24",0.5,0.501356006371078,0.0347237814798984,0.500813128383876,0.0349697130149374,0,0.5,0.0434526219732305,0.0437396533915451,0,0.0431438523063549
"p34",0.5,0.502452796215003,0.0338607394013914,0.50151910208968,0.0337697789451594,0,0.5,0.0422584687947645,0.0422990999490054,0,0.0431101187654769
"p15",0.05,0.0537410189894231,0.0555972196366002,0.0504583444969741,0.0534317327861844,0,0.05,0.0695681785492738,0.0678113972468698,0,NA
"p25",0.507142857142857,0.507931916235951,0.0421596158628971,0.507980585381265,0.0418464826496039,0,0.507142857142857,0.0534082612343163,0.0524593507585837,0,NA
"p35",0.292857142857143,0.296242565838914,0.050036148398053,0.292587177912103,0.0501289372758025,0,0.292857142857143,0.0621763257008724,0.0621890860943149,0,NA
"p45",0.257142857142857,0.258043234114935,0.0429843174685541,0.25581871631884,0.0431614519578983,0,0.257142857142857,0.0535407579539674,0.0536636164516846,0,NA
"p16",0.4,0.40616786500063,0.0427830566186517,0.404063250411669,0.0422002002865072,0,0.4,0.0529409046957626,0.0522344614570909,0,NA
"p26",0.628571428571429,0.629983348737619,0.0337417681418902,0.630335714346391,0.0337791315203371,0,0.628571428571429,0.0424665459292006,0.0423619566379346,0,NA
"p36",0.771428571428571,0.773787617984294,0.0292118236012483,0.77244129972161,0.0285339160421813,0,0.771428571428571,0.0361493205231316,0.0353500349326164,0,NA
"p46",0.628571428571429,0.629873576802817,0.0374339305360849,0.629713728961999,0.0358592427666118,0,0.628571428571429,0.0472183039188593,0.0450787395323166,0,NA
"p56",0.707106781186547,0.705866874677306,0.0428388120075137,0.705915504164398,0.042945465955474,0,0.707106781186547,0.054090098367482,0.0542037927121614,0,0.05180703525961
